a,z,H_km_s_Mpc,Omega_A,Omega_Bfoam,Omega_clustering,w_dark,w_eff,D,f
0.00015257600473579186,6553.110534822624,34279501.09858351,0.2900546224762803,2.635808233750659e-12,0.343713182220076,-9.08728228919108e-12,0.21876227258979355,0.000349666742104377,0.8018473958139075
0.00015375255872303653,6502.956801144093,33801583.42798119,0.29151865099911145,2.710870085458686e-12,0.34544804821640496,-9.29913086570142e-12,0.21818398392425054,0.00035182444115770773,0.7998313843282956
0.00015493818542972526,6453.186856690447,33330551.14275168,0.2929861598829975,2.7880323290512676e-12,0.34718703842201154,-9.515918192648157e-12,0.2176043205222787,0.00035399002974509304,0.7978572133964812
0.00015613295481800113,6403.797764608157,32866302.57087282,0.2944571181020153,2.8673525713015666e-12,0.3489301160713424,-9.737759405361852e-12,0.21702329463906275,0.0003561636035477253,0.7959243189006436
0.00015733693738950388,6354.7866105172525,32408737.565377593,0.29593149428020804,2.9488899638202998e-12,0.3506772439840555,-9.964772323282041e-12,0.21644091866804965,0.00035834525901997754,0.7940321469882389
0.00015855020418952922,6306.1505023393765,31957757.481287397,0.29740925669348633,3.032705243478559e-12,0.3524283845672738,-1.0197077512530748e-11,0.2158572051401984,0.00036053509339422886,0.7921801537975685
0.00015977282681122308,6257.886570127055,31513265.152894586,0.29889037327160334,3.1188607738616007e-12,0.35418349981792585,-1.0434798349945284e-11,0.21527216672319954,0.0003627332046857286,0.7903678051917273
0.000161004877399804,6209.991965894427,31075164.87139143,0.3003748116001959,3.2074205877787643e-12,0.3559425513251638,-1.0678061088603022e-11,0.21468581622066887,0.00036493969169748645,0.7885945765006476
0.0001622464286568225,6162.463863449112,30643362.362837132,0.3018625389229011,3.2984504308563452e-12,0.35770550027287196,-1.0926994924874604e-11,0.21409816657131142,0.00036715465402519513,0.786859952270967
0.00016349755384444887,6115.299458225518,30217764.76646086,0.30335352214353944,3.3920178062396995e-12,0.3594723074422538,-1.118173206703943e-11,0.2135092308480594,0.00036937819206218973,0.7851634260234475
0.0001647583267897983,6068.495967119273,29798280.613292802,0.3048477278283722,3.488192020432713e-12,0.3612429332145071,-1.144240780550162e-11,0.21291902225718004,0.0003716104070044327,0.7835045000176998
0.00016602882188928642,6022.050628323036,29384819.80512049,0.30634512220842713,3.587044230302352e-12,0.3630173375735796,-1.1709160584642323e-11,0.2123275541373574,0.0003738514008555392,0.7818826850239594
0.00016730911411301844,5975.960701163555,28977293.593764663,0.30784567118189354,3.688647491277356e-12,0.36479548010900714,-1.1982132076347066e-11,0.21173483995874606,0.0003761012764318284,0.7802975001016911
0.00016859927900921508,5930.223465939871,28575614.560668718,0.3093493403165914,3.793076806770919e-12,0.3665773200188398,-1.2261467255247854e-11,0.21114089332199593,0.0003783601373674157,0.7787484723847848
0.00016989939270866818,5884.836223762914,28179696.596799415,0.31085609485250554,3.900409178857079e-12,0.36836281611264476,-1.2547314475718416e-11,0.2105457279572512,0.00038062808811933446,0.7772351368731338
0.00017120953192923557,5839.7962963961645,27789454.882851154,0.3123658997043951,4.010723660232585e-12,0.37015192681459835,-1.2839825550665433e-11,0.20994935772311954,0.0003829052339726918,0.7757570362303841
0.0001725297739803655,5795.101026097696,27404805.869752258,0.31387871946446627,4.124101407495251e-12,0.3719446101666536,-1.3139155832155567e-11,0.20935179660561667,0.0003851916810458651,0.7743137205876498
0.0001738601967676608,5750.747775463273,27025667.259465713,0.31539451840512095,4.240625735772143e-12,0.3737408238317969,-1.3445464293923098e-11,0.2087530587170802,0.00038748753629572555,0.7729047473530092
0.00017520087879747511,5706.733927270754,26651957.9860822,0.31691326048177,4.360382174730311e-12,0.3755405250973821,-1.3758913615800378e-11,0.2081531582950588,0.0003897929075229064,0.7715296810265895
0.00017655189918154432,5663.056884325682,26283598.19720017,0.31843490933571483,4.48345852600445e-12,0.3773436708785452,-1.4079670270116553e-11,0.20755210970117363,0.0003921079033770988,0.770188093021063
0.00017791333764165718,5619.71406930796,25920509.235587515,0.31995942829710267,4.60994492207679e-12,0.3791502177217057,-1.4407904610111203e-11,0.2069499274199515,0.0003944326333623921,0.7688795614873829
0.000179285274514357,5576.702924619841,25562613.621122923,0.3214867803879428,4.739933886644315e-12,0.38096012180814176,-1.4743790960408024e-11,0.20634662605763282,0.00039676720784264627,0.767603671145593
0.0001806677907556847,5534.020912234933,25209835.03300989,0.32301692832519724,4.873520396510901e-12,0.3827733389576517,-1.5087507709598913e-11,0.20574222034095135,0.00039911173804690165,0.7663600131205506
0.00018206096794595343,5491.665513548515,24862098.292262014,0.3245498345239325,5.010801945041009e-12,0.3845898246322898,-1.5439237404985172e-11,0.20513672511588898,0.00040146633607483203,0.7651481847824061
0.0001834648882945647,5449.63422922884,24519329.344452776,0.3260854611005442,5.151878607214361e-12,0.38640953394018646,-1.57991668495286e-11,0.20453015534640198,0.0004038311149022281,0.7639677895916989
0.00018487963464485852,5407.924579069693,24181455.24272797,0.32762376987604397,5.296853106320234e-12,0.38823242163944377,-1.6167487201061923e-11,0.20392252611312292,0.00040620618838652865,0.7628184369489176
0.00018630529047900077,5366.5341018440595,23848404.131075848,0.329164722379412,5.445830882332053e-12,0.39005844214210844,-1.6544394073812116e-11,0.20331385261203608,0.00040859167127238195,0.7616997420483906
