a,z,rho_de_eff,w_eff_de,positive_rho_de_eff
0.0005175213530172298,1931.287419967978,55372247.30698347,-8.621229119487595e-08,True
0.0005215120972527405,1916.5010613711033,54110782.01898384,-8.631309356132988e-08,True
0.0005255336151741294,1901.827851780065,52878054.858061075,-8.64159422908628e-08,True
0.0005295861440854407,1887.2669253496654,51673411.12530756,-8.652159522171132e-08,True
0.0005336699231206314,1872.8174228603823,50496211.03686595,-8.663012829313033e-08,True
0.0005377851932576845,1858.4784916676595,49345829.38414478,-8.674101081851404e-08,True
0.0005419321973328279,1844.2492856515953,48221655.20176613,-8.685393970697675e-08,True
0.0005461111800548638,1830.128965167015,47123091.443089604,-8.696952136233449e-08,True
0.000550322388019609,1816.1166969939231,46049554.663118124,-8.70884377945913e-08,True
0.0005545660697244461,1802.2116542883375,45000474.70863426,-8.720947641815968e-08,True
0.000558842475582986,1788.4130165335002,43975294.41538751,-8.733309186936822e-08,True
0.0005631518579398471,1774.7199694914523,42973469.312193036,-8.746034529938385e-08,True
0.0005674944710855423,1761.1317051549972,41994467.331758976,-8.75910851627637e-08,True
0.0005718705712714866,1747.6474217000155,41037768.528108835,-8.772425041936316e-08,True
0.0005762804167251175,1734.2663234381507,40102864.800435185,-8.785968930169474e-08,True
0.0005807242676651325,1720.9876207698585,39189259.6232543,-8.799914519297403e-08,True
0.0005852023863168448,1707.8105301378116,38296467.78270018,-8.814193586115238e-08,True
0.0005897150369276555,1694.7342739806668,37424015.11882591,-8.828753073064632e-08,True
0.0005942624857826493,1681.7580806871742,36571438.27378082,-8.843653631629422e-08,True
0.0005988450012203039,1668.881184550656,35738284.44572222,-8.85896346281001e-08,True
0.0006034628536483269,1656.1028257238158,34924111.14833307,-8.87458403431296e-08,True
0.0006081163155596109,1643.4222501739052,34128485.975815535,-8.890568403696619e-08,True
0.000612805661548314,1630.8387096382257,33350986.373246312,-8.906999937607907e-08,True
0.0006175311683260621,1618.351461579978,32591199.412154675,-8.92372705729727e-08,True
0.0006222931147382778,1605.9597691444442,31848721.571216226,-8.940825557690601e-08,True
0.0006270917817806342,1593.6629011155092,31123158.521948338,-8.958409125625622e-08,True
0.0006319274526156382,1581.4601318725065,30414124.919278383,-8.976371645985637e-08,True
0.0006368004125893359,1569.3507413474097,29721244.196890116,-8.99474343896145e-08,True
0.000641710949248153,1557.3340149823355,29044148.367228746,-9.013501767185517e-08,True
0.0006466593523558619,1545.409243687381,28382477.826064527,-9.032745162951272e-08,True
0.0006516459139106802,1533.5757237987807,27735881.161508143,-9.052443294965684e-08,True
0.000656670928162501,1521.8327570373851,27104014.967374444,-9.072573448065668e-08,True
0.0006617346916302558,1510.1796504674564,26486543.660802484,-9.093203823251628e-08,True
0.0006668375031194137,1498.6157164557753,25883139.304026306,-9.114273780141957e-08,True
0.0006719796637396105,1487.1402726310719,25293481.430208564,-9.135843959118262e-08,True
0.0006771614769224185,1475.7526418437544,24717256.87324208,-9.157944680371344e-08,True
0.0006823832484392511,1464.452152125954,24154159.60142672,-9.180545623710401e-08,True
0.0006876452864194064,1453.2381366518714,23603890.554936886,-9.203669526502978e-08,True
0.0006929479013682489,1442.1099336984303,23066157.486991704,-9.227384600851707e-08,True
0.0006982914061855317,1431.066886606229,22540674.80864376,-9.251599897286411e-08,True
0.0007036761161838625,1420.1083437407892,22027163.437101305,-9.276330581453607e-08,True
0.0007091023491073064,1409.2336584541097,21525350.647511065,-9.3017130553541e-08,True
0.0007145704251501375,1398.4421890465046,21034969.928112626,-9.327656391722172e-08,True
0.0007200806669757331,1387.7332987287384,20555760.838694394,-9.354228802660458e-08,True
0.0007256333997356129,1377.10635558445,20087468.872276127,-9.381422694243469e-08,True
0.0007312289510886265,1366.5607325328642,19629845.319938183,-9.409222911926918e-08,True
0.0007368676512202872,1356.0958072917888,19182647.138735175,-9.437705250636697e-08,True
0.000742549832862256,1345.7109623408958,18745636.82261491,-9.4667711891816e-08,True
0.0007482758313119775,1335.4055848852768,18318582.27627909,-9.496572295208949e-08,True
0.0007540459844524623,1325.179066819291,17901256.69192058,-9.527078270732403e-08,True
0.0007598606327722263,1315.0308046906769,17493438.428762197,-9.558289093547501e-08,True
